Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
344,2007,NBA,2,44,ORL,Reyshawn Terry,,,,University of North Carolina,,,,,,,,,,,,,,,
345,2007,NBA,2,45,LAC,Jared Jordan,,,,Marist College,,,,,,,,,,,,,,,
346,2007,NBA,2,46,GSW,Stephane Lasme\lasmest01,24.199,F,ga,University of Massachusetts Amherst,2008,2008,16,18.9,5.2,3.3,0.2,0.8,1.4,.451,.451,,.594,0.3,.041
347,2007,NBA,2,47,WAS,Dominic McGuire\mcguido01,21.256,F,us,California State University Fresno,2008,2013,342,15.6,2.7,3.4,1.2,0.5,0.5,.419,.423,.188,.658,4.1,.037
348,2007,NBA,2,48,LAL,Marc Gasol\gasolma01,22.155,C,es,,2009,2018,714,33.7,15.2,7.7,3.3,0.9,1.5,.487,.499,.343,.779,73.6,.147
349,2007,NBA,2,49,CHI,Aaron Gray\grayaa01,22.208,C,us,University of Pittsburgh,2008,2014,318,12.1,3.4,3.7,0.7,0.3,0.3,.509,.511,.000,.562,6.2,.077
350,2007,NBA,2,50,DAL,Renaldas Seibutis\seibure01,21.345,G,lt,,,,,,,,,,,,,,,,
351,2007,NBA,2,51,CHI,JamesOn Curry\curryja01,21.177,G,us,Oklahoma State University,2010,2010,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,
352,2007,NBA,2,52,POR,Taurean Green\greenta01,20.217,G,us,University of Florida,2008,2008,17,4.4,1.6,0.6,0.6,0.1,0.0,.280,.357,.182,.917,-0.1,-0.066
353,2007,NBA,2,53,POR,Demetris Nichols\nichode01,22.302,F,us,Syracuse University,2008,2009,18,3.2,1.2,0.4,0.1,0.0,0.2,.281,.353,.200,.500,-0.2,-0.203
354,2007,NBA,2,54,HOU,Brad Newley\newlebr01,22.135,F-G,au,,,,,,,,,,,,,,,,
355,2007,NBA,2,55,UTA,Herbert Hill,,,,Providence College,,,,,,,,,,,,,,,
356,2007,NBA,2,56,MIL,Ramon Sessions\sessira01,21.083,G,us,University of Nevada Reno,2008,2018,689,23.4,10.4,2.7,4.1,0.7,0.1,.434,.450,.316,.791,28.8,.086
357,2007,NBA,2,57,DET,Sammy Mejia,,,,DePaul University,,,,,,,,,,,,,,,
358,2007,NBA,2,58,SAS,Giorgos Printezis\printgi01,22.131,F,gr,,,,,,,,,,,,,,,,
359,2007,NBA,2,59,PHO,D.J. Strawberry\strawdj01,22.018,G,us,University of Maryland,2008,2008,33,8.2,2.2,0.8,0.9,0.4,0.2,.315,.343,.240,.474,-0.2,-0.031
360,2007,NBA,2,60,DAL,Milovan Rakovic\rakovmi01,22.134,C,rs,,,,,,,,,,,,,,,,
361,2006,NBA,1,1,TOR,Andrea Bargnani\bargnan01,20.250,F-C,it,,2007,2016,550,28.7,14.3,4.6,1.2,0.4,0.9,.439,.470,.354,.824,18.9,.057
362,2006,NBA,1,2,CHI,LaMarcus Aldridge\aldrila01,20.349,F-C,us,University of Texas at Austin,2007,2018,864,34.6,19.4,8.3,1.9,0.7,1.1,.488,.494,.292,.806,96.9,.156
363,2006,NBA,1,3,CHA,Adam Morrison\morriad01,21.349,F,us,Gonzaga University,2007,2010,161,20.4,7.5,2.1,1.4,0.2,0.1,.373,.391,.331,.710,-1.4,-0.021
364,2006,NBA,1,4,POR,Tyrus Thomas\thomaty01,19.320,F,us,Louisiana State University,2007,2015,402,19.7,7.7,4.8,0.9,0.8,1.3,.438,.440,.235,.732,13.0,.078
365,2006,NBA,1,5,ATL,Shelden Williams\willish02,22.256,F,us,Duke University,2007,2012,361,15.5,4.5,4.3,0.5,0.5,0.5,.462,.464,.222,.740,9.9,.085
366,2006,NBA,1,6,MIN,Brandon Roy\roybr01,21.345,G,us,University of Washington,2007,2013,326,35.5,18.8,4.3,4.7,1.0,0.2,.459,.485,.348,.800,37.4,.155
367,2006,NBA,1,7,BOS,Randy Foye\foyera01,22.283,G,us,Villanova University,2007,2017,752,25.6,10.3,2.2,2.8,0.7,0.3,.401,.429,.366,.852,23.5,.058
368,2006,NBA,1,8,HOU,Rudy Gay\gayru01,19.320,F,us,University of Connecticut,2007,2018,805,34.7,17.9,5.9,2.2,1.3,0.8,.453,.480,.344,.795,50.1,.086
369,2006,NBA,1,9,GSW,Patrick O'Bryant\obryapa01,20.013,C,us,Bradley University,2007,2010,90,5.8,2.1,1.4,0.3,0.2,0.4,.494,.503,.000,.583,0.5,.046
370,2006,NBA,1,10,SEA,Mouhamed Sene\senesa01,20.052,C-F,sn,,2007,2009,47,5.5,2.2,1.6,0.0,0.1,0.5,.427,.427,,.589,0.3,.052
371,2006,NBA,1,11,ORL,J.J. Redick\redicjj01,22.009,G,us,Duke University,2007,2018,755,25.3,12.3,2.0,1.9,0.5,0.1,.448,.481,.415,.890,52.2,.131
372,2006,NBA,1,12,NOK,Hilton Armstrong\armsthi01,21.234,F-C,us,University of Connecticut,2007,2014,292,11.6,3.0,2.6,0.3,0.3,0.5,.501,.503,.286,.582,3.9,.055
373,2006,NBA,1,13,PHI,Thabo Sefolosha\sefolth01,22.062,G-F,ch,,2007,2018,778,23.2,6.1,3.9,1.5,1.1,0.4,.449,.500,.347,.737,37.1,.099
374,2006,NBA,1,14,UTA,Ronnie Brewer\brewero02,21.105,G-F,us,University of Arkansas,2007,2014,502,23.0,7.8,2.8,1.6,1.2,0.2,.490,.520,.254,.675,30.4,.127
375,2006,NBA,1,15,NOK,Cedric Simmons\simmoce01,20.181,F,us,North Carolina State University,2007,2009,75,9.4,2.2,1.9,0.2,0.1,0.4,.409,.409,,.390,0.1,.005
376,2006,NBA,1,16,CHI,Rodney Carney\carnero01,22.079,F,us,University of Memphis,2007,2011,299,15.4,5.9,2.0,0.4,0.5,0.3,.422,.471,.338,.704,6.2,.064
377,2006,NBA,1,17,IND,Shawne Williams\willish03,20.137,F,us,University of Memphis,2007,2015,314,17.1,5.6,3.0,0.7,0.4,0.5,.403,.469,.339,.755,6.7,.060
378,2006,NBA,1,18,WAS,Oleksiy Pecherov\pecheol01,20.207,C,ua,,2008,2010,111,9.4,3.9,2.4,0.2,0.2,0.2,.386,.444,.290,.793,0.5,.025
379,2006,NBA,1,19,SAC,Quincy Douby\doubyqu01,22.048,G,us,Rutgers University,2007,2009,143,10.7,4.1,1.1,0.7,0.3,0.1,.389,.436,.312,.884,0.0,.000
380,2006,NBA,1,20,NYK,Renaldo Balkman\balkmre01,21.354,F,us,University of South Carolina,2007,2012,221,13.9,4.0,3.5,0.6,0.7,0.5,.510,.543,.172,.542,7.2,.113
381,2006,NBA,1,21,PHO,Rajon Rondo\rondora01,20.131,G,us,University of Kentucky,2007,2018,774,31.8,10.5,4.8,8.5,1.7,0.1,.463,.485,.309,.605,56.5,.110
382,2006,NBA,1,22,NJN,Marcus Williams\willima03,20.212,G,us,University of Connecticut,2007,2010,203,15.2,5.6,1.8,2.8,0.4,0.0,.386,.421,.321,.767,0.0,-0.001
383,2006,NBA,1,23,NJN,Josh Boone\boonejo01,21.224,F-C,us,University of Connecticut,2007,2010,256,17.5,5.2,4.9,0.5,0.4,0.7,.544,.544,,.445,9.1,.097
384,2006,NBA,1,24,MEM,Kyle Lowry\lowryky01,20.100,G,us,Villanova University,2007,2018,785,31.1,14.5,4.2,5.9,1.4,0.3,.425,.466,.370,.803,79.6,.157
385,2006,NBA,1,25,CLE,Shannon Brown\brownsh01,20.216,G,us,Michigan State University,2007,2015,408,18.0,7.6,1.9,1.1,0.7,0.2,.420,.456,.332,.807,9.2,.060
386,2006,NBA,1,26,LAL,Jordan Farmar\farmajo01,19.215,G,us,University of California Los Angeles,2007,2017,504,19.5,7.7,1.9,2.9,0.8,0.1,.423,.463,.374,.739,13.9,.068
387,2006,NBA,1,27,PHO,Sergio Rodriguez\rodrise01,20.021,G,es,,2007,2017,353,15.0,4.9,1.5,3.4,0.6,0.0,.409,.451,.337,.739,4.3,.039
388,2006,NBA,1,28,DAL,Maurice Ager\agerma01,22.145,G,us,Michigan State University,2007,2011,82,6.2,2.1,0.6,0.2,0.1,0.1,.339,.366,.250,.566,-0.9,-0.089
389,2006,NBA,1,29,NYK,Mardy Collins\collima01,21.333,G,us,Temple University,2007,2010,189,14.7,3.9,1.8,1.7,0.6,0.1,.380,.396,.299,.599,-1.6,-0.027
390,2006,NBA,1,30,POR,Joel Freeland\freeljo01,19.146,F-C,gb,,2013,2015,151,12.1,3.2,3.4,0.4,0.2,0.4,.459,.461,.000,.728,3.2,.084
391,2006,NBA,2,31,POR,James White\whiteja02,23.256,G-F,us,University of Cincinnati,2007,2013,67,8.7,2.7,1.0,0.5,0.3,0.1,.438,.482,.340,.676,0.8,.062
392,2006,NBA,2,32,HOU,Steve Novak\novakst01,23.021,F,us,Marquette University,2007,2017,467,12.1,4.7,1.3,0.3,0.2,0.1,.437,.463,.430,.877,14.5,.123
393,2006,NBA,2,33,ATL,Solomon Jones\jonesso01,21.352,F,us,University of South Florida,2007,2014,281,11.0,3.0,2.3,0.4,0.2,0.5,.467,.472,.111,.717,5.0,.078
394,2006,NBA,2,34,LAC,Paul Davis\davispa01,21.347,C,us,Michigan State University,2007,2010,82,8.6,2.6,1.9,0.4,0.3,0.2,.402,.404,.000,.732,0.5,.035
395,2006,NBA,2,35,TOR,P.J. Tucker\tuckepj01,21.059,F,us,University of Texas at Austin,2007,2018,495,27.8,7.4,5.7,1.5,1.2,0.3,.427,.470,.356,.748,24.8,.086
396,2006,NBA,2,36,MIN,Craig Smith\smithcr01,22.236,F,us,Boston College,2007,2012,403,16.9,7.6,3.9,0.8,0.5,0.2,.553,.560,.037,.661,16.0,.113
397,2006,NBA,2,37,MIN,Bobby Jones\jonesbo02,22.176,F,us,University of Washington,2007,2008,91,9.5,3.2,1.6,0.5,0.3,0.0,.442,.491,.306,.685,1.1,.060
398,2006,NBA,2,38,GSW,Kosta Perovic\perovko01,21.134,C,hr,,2008,2008,7,5.4,1.4,1.9,0.1,0.0,0.3,.300,.300,,.667,0.0,.060
399,2006,NBA,2,39,MIL,David Noel\noelda01,22.127,F,us,University of North Carolina,2007,2007,68,11.6,2.7,1.8,1.0,0.4,0.1,.367,.387,.321,.860,0.4,.024
400,2006,NBA,2,40,SEA,Denham Brown,,,,University of Connecticut,,,,,,,,,,,,,,,
401,2006,NBA,2,41,ORL,James Augustine\augusja01,22.127,F,us,University of Illinois at Urbana-Champaign,2007,2008,27,5.8,1.6,1.2,0.1,0.2,0.1,.514,.514,,.500,0.3,.101
402,2006,NBA,2,42,CLE,Daniel Gibson\gibsoda01,20.126,G,us,University of Texas at Austin,2007,2013,397,23.5,7.8,2.0,2.0,0.6,0.2,.402,.397,.407,.780,16.0,.082
403,2006,NBA,2,43,NOK,Marcus Vinicius\vincima01,22.033,F,br,,2007,2008,26,6.6,1.9,0.7,0.3,0.1,0.1,.457,.500,.421,.556,0.2,.056
404,2006,NBA,2,44,ORL,Lior Eliyahu\eliyali01,20.297,F,il,,,,,,,,,,,,,,,,
405,2006,NBA,2,45,IND,Alexander Johnson\johnsal01,23.146,F,us,Florida State University,2007,2008,102,12.8,4.3,2.7,0.3,0.4,0.4,.517,.517,,.672,1.5,.056
406,2006,NBA,2,46,UTA,Dee Brown\brownde03,21.320,G,us,University of Illinois at Urbana-Champaign,2007,2009,68,10.5,2.1,1.0,1.8,0.5,0.1,.340,.389,.250,.643,0.1,.008
407,2006,NBA,2,47,UTA,Paul Millsap\millspa01,21.143,F,us,Louisiana Tech University,2007,2018,870,29.5,14.2,7.4,2.3,1.3,1.0,.492,.513,.332,.735,82.0,.153
408,2006,NBA,2,48,WAS,Vladimir Veremeenko\veremvl01,21.347,F,by,,,,,,,,,,,,,,,,
409,2006,NBA,2,49,DEN,Leon Powe\powele01,22.163,F,us,University of California,2007,2011,239,13.9,6.2,3.8,0.3,0.3,0.3,.515,.517,.000,.682,12.0,.174
410,2006,NBA,2,50,CHA,Ryan Hollins\holliry01,21.266,C,us,University of California Los Angeles,2007,2016,518,11.8,3.7,2.2,0.3,0.2,0.5,.584,.584,.000,.649,10.4,.081
411,2006,NBA,2,51,LAL,Cheikh Samb\sambch01,21.254,C,sn,,2008,2009,22,5.2,1.0,1.4,0.0,0.2,0.5,.250,.273,.000,.444,-0.1,-0.056
412,2006,NBA,2,52,LAC,Guillermo Diaz\diazgu01,21.121,G,pr,University of Miami,2008,2008,6,3.0,0.8,0.3,0.2,0.0,0.0,.250,.333,.000,.600,0.0,.033
413,2006,NBA,2,53,SEA,Yotam Halperin\halpeyo01,22.161,G,il,,,,,,,,,,,,,,,,
414,2006,NBA,2,54,NJN,Hassan Adams\adamsha01,22.013,G,us,University of Arizona,2007,2009,73,7.5,2.5,1.2,0.2,0.2,0.1,.534,.537,.000,.643,0.8,.072
415,2006,NBA,2,55,CLE,Ejike Ugboaja\ugboaej01,21.036,F,ng,,,,,,,,,,,,,,,,
416,2006,NBA,2,56,TOR,Edin Bavcic\bavcied01,22.028,C-F,ba,,,,,,,,,,,,,,,,
417,2006,NBA,2,57,MIN,Loukas Mavrokefalidis,,,,,,,,,,,,,,,,,,,
418,2006,NBA,2,58,DAL,J.R. Pinnock,,,,George Washington University,,,,,,,,,,,,,,,
419,2006,NBA,2,59,SAS,Damir Markota\markoda01,20.189,C,ba,,2007,2007,30,5.7,1.7,1.0,0.2,0.1,0.0,.365,.361,.375,.636,-0.2,-0.070
420,2006,NBA,2,60,DET,Will Blalock\blalowi01,22.299,G,us,Iowa State University,2007,2007,14,11.9,1.8,1.1,1.2,0.4,0.0,.300,.320,.200,1.000,-0.1,-0.032
421,2005,NBA,1,1,MIL,Andrew Bogut\bogutan01,20.217,C,au,University of Utah,2006,2018,694,28.4,9.8,8.7,2.2,0.6,1.6,.535,.537,.120,.556,50.3,.122
422,2005,NBA,1,2,ATL,Marvin Williams\willima02,19.014,F,us,University of North Carolina,2006,2018,935,28.7,10.5,5.3,1.3,0.8,0.5,.444,.479,.358,.807,58.1,.104
423,2005,NBA,1,3,UTA,Deron Williams\willide01,21.007,G,us,University of Illinois at Urbana-Champaign,2006,2017,845,34.2,16.3,3.1,8.1,1.0,0.2,.445,.482,.357,.822,77.3,.129
424,2005,NBA,1,4,NOH,Chris Paul\paulch01,20.058,G,us,Wake Forest University,2006,2018,888,35.3,18.7,4.5,9.8,2.3,0.1,.472,.505,.372,.868,164.2,.251
425,2005,NBA,1,5,CHA,Raymond Felton\feltora01,21.007,G,us,University of North Carolina,2006,2018,934,30.4,11.4,3.0,5.4,1.2,0.2,.412,.445,.328,.789,39.6,.067
426,2005,NBA,1,6,POR,Martell Webster\webstma02,18.211,G-F,us,,2006,2015,580,24.0,8.7,3.1,1.0,0.5,0.3,.418,.454,.382,.791,24.7,.085
427,2005,NBA,1,7,TOR,Charlie Villanueva\villach01,20.313,F,us,University of Connecticut,2006,2016,656,20.7,10.4,4.6,0.8,0.5,0.5,.435,.484,.341,.772,22.6,.080
428,2005,NBA,1,8,NYK,Channing Frye\fryech01,22.048,C-F,us,University of Arizona,2006,2018,849,22.8,9.0,4.6,1.0,0.5,0.6,.442,.478,.387,.823,38.6,.096
429,2005,NBA,1,9,GSW,Ike Diogu\dioguik01,21.296,F,us,Arizona State University,2006,2012,225,12.4,6.0,3.1,0.3,0.2,0.3,.509,.509,.500,.786,6.5,.112
430,2005,NBA,1,10,LAL,Andrew Bynum\bynuman01,17.249,C,us,,2006,2014,418,25.6,11.5,7.7,1.2,0.3,1.6,.556,.557,.111,.690,37.4,.168
431,2005,NBA,1,11,ORL,Fran Vazquez\vazqufr01,22.064,,es,,,,,,,,,,,,,,,,
432,2005,NBA,1,12,LAC,Yaroslav Korolev\korolya01,18.057,F,ru,,2006,2007,34,4.9,1.1,0.5,0.4,0.2,0.0,.283,.294,.250,.625,-0.1,-0.024
433,2005,NBA,1,13,CHA,Sean May\mayse01,21.090,F,us,University of North Carolina,2006,2010,119,15.7,6.9,4.0,1.0,0.4,0.4,.458,.462,.231,.746,2.6,.068
434,2005,NBA,1,14,MIN,Rashad McCants\mccanra01,20.281,G,us,University of North Carolina,2006,2009,249,20.2,10.0,2.0,1.3,0.7,0.2,.431,.467,.368,.741,3.6,.035
435,2005,NBA,1,15,NJN,Antoine Wright\wrighan01,21.148,G-F,us,Texas A&M University,2006,2011,297,19.2,5.4,2.3,1.0,0.5,0.2,.412,.467,.304,.674,3.1,.026
436,2005,NBA,1,16,TOR,Joey Graham\grahajo01,23.023,F,us,Oklahoma State University,2006,2011,377,16.2,5.9,2.8,0.5,0.4,0.1,.483,.503,.300,.815,7.8,.061
437,2005,NBA,1,17,IND,Danny Granger\grangda01,22.075,F,us,University of New Mexico,2006,2015,586,31.5,16.8,4.9,1.9,1.0,0.8,.434,.463,.380,.848,48.5,.126
438,2005,NBA,1,18,BOS,Gerald Green\greenge01,19.158,G-F,us,,2006,2018,580,19.7,9.7,2.5,1.0,0.5,0.3,.418,.464,.361,.815,16.2,.068
439,2005,NBA,1,19,MEM,Hakim Warrick\warriha01,22.361,F,us,Syracuse University,2006,2013,526,20.2,9.4,4.0,0.8,0.4,0.3,.490,.499,.191,.726,20.4,.092
440,2005,NBA,1,20,DEN,Julius Hodge\hodgeju01,21.228,G,us,North Carolina State University,2006,2007,23,4.3,1.2,0.7,0.8,0.3,0.0,.440,.440,,.500,0.0,.003
441,2005,NBA,1,21,PHO,Nate Robinson\robinna01,21.033,G,us,University of Washington,2006,2016,618,22.5,11.0,2.3,3.0,0.9,0.1,.423,.463,.360,.796,27.8,.096
442,2005,NBA,1,22,DEN,Jarrett Jack\jackja01,21.249,G,us,Georgia Institute of Technology,2006,2018,863,27.9,10.8,2.9,4.6,0.8,0.1,.440,.469,.343,.855,36.6,.073
443,2005,NBA,1,23,SAC,Francisco Garcia\garcifr01,23.185,F-G,do,University of Louisville,2006,2015,549,21.6,7.9,2.6,1.4,0.8,0.7,.427,.484,.357,.799,18.2,.074
444,2005,NBA,1,24,HOU,Luther Head\headlu01,22.220,G,us,University of Illinois at Urbana-Champaign,2006,2011,348,22.4,8.2,2.4,2.1,0.7,0.1,.423,.454,.388,.773,14.7,.090
445,2005,NBA,1,25,SEA,Johan Petro\petrojo01,19.157,C,fr,,2006,2013,473,15.4,4.7,3.9,0.5,0.4,0.5,.462,.464,.154,.678,5.5,.037
446,2005,NBA,1,26,DET,Jason Maxiell\maxieja01,22.136,F,us,University of Cincinnati,2006,2015,618,18.4,5.6,4.2,0.4,0.4,0.8,.495,.496,.000,.564,20.3,.086
447,2005,NBA,1,27,POR,Linas Kleiza\kleizli01,20.181,F,lt,University of Missouri,2006,2013,409,20.0,8.7,3.6,0.8,0.4,0.2,.435,.501,.335,.763,13.6,.080
448,2005,NBA,1,28,SAS,Ian Mahinmi\mahinia01,18.240,C,fr,,2008,2018,542,16.6,5.1,4.3,0.5,0.6,0.7,.543,.545,.000,.608,23.9,.128
449,2005,NBA,1,29,MIA,Wayne Simien\simiewa01,22.117,F,us,University of Kansas,2006,2007,51,9.9,3.3,1.9,0.2,0.3,0.0,.469,.469,,.854,0.9,.083
450,2005,NBA,1,30,NYK,David Lee\leeda02,22.066,F,us,University of Florida,2006,2017,829,29.3,13.5,8.8,2.2,0.8,0.4,.535,.537,.034,.772,76.0,.150
451,2005,NBA,2,31,ATL,Salim Stoudamire\stoudsa01,22.266,G,us,University of Arizona,2006,2008,157,17.0,8.0,1.4,1.0,0.4,0.1,.407,.435,.366,.882,2.2,.040
452,2005,NBA,2,32,LAC,Daniel Ewing\ewingda01,22.100,G,us,Duke University,2006,2007,127,13.3,3.4,1.2,1.4,0.5,0.1,.389,.429,.295,.780,0.8,.024
453,2005,NBA,2,33,NOH,Brandon Bass\bassbr01,20.064,F,us,Louisiana State University,2006,2017,758,21.6,8.7,4.5,0.8,0.4,0.6,.499,.502,.207,.832,42.8,.125
454,2005,NBA,2,34,UTA,C.J. Miles\milescj01,18.076,G-F,us,,2006,2018,779,20.7,9.8,2.4,1.1,0.7,0.3,.415,.465,.362,.809,29.2,.087
455,2005,NBA,2,35,POR,Ricky Sanchez,,,,,,,,,,,,,,,,,,,
456,2005,NBA,2,36,MIL,Ersan Ilyasova\ilyaser01,18.049,F,tr,,2007,2018,672,24.4,10.9,5.9,1.2,0.7,0.4,.443,.481,.365,.771,41.3,.121
457,2005,NBA,2,37,LAL,Ronny Turiaf\turiaro01,22.172,F,mq,Gonzaga University,2006,2015,473,17.0,4.7,3.7,1.3,0.4,1.3,.533,.535,.000,.636,19.2,.115
458,2005,NBA,2,38,ORL,Travis Diener\dienetr01,23.125,G,us,Marquette University,2006,2010,179,14.9,4.8,1.4,2.4,0.4,0.1,.388,.442,.353,.847,5.6,.102
459,2005,NBA,2,39,LAL,Von Wafer\wafervo01,19.347,G,us,Florida State University,2006,2012,200,12.4,5.3,1.2,0.7,0.4,0.1,.420,.469,.325,.751,3.3,.064
460,2005,NBA,2,40,GSW,Monta Ellis\ellismo01,19.250,G,us,,2006,2017,833,34.8,17.8,3.5,4.6,1.7,0.3,.451,.482,.314,.772,41.9,.069
461,2005,NBA,2,41,TOR,Roko Ukic\ukicro01,21.052,G,hr,,2009,2010,85,11.6,4.0,0.9,1.9,0.4,0.0,.387,.439,.189,.746,-0.2,-0.007
462,2005,NBA,2,42,GSW,Chris Taft\taftch01,20.115,F,us,University of Pittsburgh,2006,2006,17,8.5,2.8,2.1,0.1,0.1,0.4,.605,.605,,.167,0.5,.155
463,2005,NBA,2,43,NJN,Mile Ilic\ilicmi01,21.031,C,ba,,2007,2007,5,1.2,0.0,0.2,0.0,0.0,0.0,.000,.000,,,-0.2,-1.264
464,2005,NBA,2,44,ORL,Martynas Andriuskevicius\andrima01,19.113,C,lt,,2006,2006,6,1.5,0.0,0.7,0.0,0.3,0.0,.000,.000,,,0.0,.155
465,2005,NBA,2,45,PHI,Louis Williams\willilo02,18.249,G,us,,2006,2018,858,24.4,13.7,2.1,3.1,0.9,0.2,.420,.462,.348,.833,54.5,.125
466,2005,NBA,2,46,IND,Erazem Lorbek\lorbeer01,21.133,F,si,,,,,,,,,,,,,,,,
467,2005,NBA,2,47,MIN,Bracey Wright\wrighbr02,21.002,G,us,Indiana University,2006,2007,26,12.5,5.0,1.5,0.8,0.4,0.0,.405,.446,.324,.794,0.5,.068
468,2005,NBA,2,48,SEA,Mickael Gelabale\gelabmi01,22.043,F,gp,,2007,2013,145,16.2,4.6,2.3,0.8,0.3,0.2,.470,.519,.316,.815,3.0,.062
469,2005,NBA,2,49,WAS,Andray Blatche\blatcan01,18.315,F,us,,2006,2014,564,22.1,10.1,5.4,1.4,0.9,0.8,.467,.478,.237,.725,19.2,.074
470,2005,NBA,2,50,BOS,Ryan Gomes\gomesry01,22.306,F,us,Providence College,2006,2014,487,27.6,10.1,4.6,1.5,0.7,0.2,.445,.473,.349,.799,19.4,.069
471,2005,NBA,2,51,UTA,Robert Whaley\whalero01,23.079,C,us,Walsh University,2006,2006,23,9.2,2.1,1.9,0.7,0.3,0.3,.404,.404,,.500,0.0,.004
472,2005,NBA,2,52,DEN,Axel Hervelle\herveax01,21.211,F,be,,,,,,,,,,,,,,,,
473,2005,NBA,2,53,BOS,Orien Greene\greenor01,23.150,G,us,University of Louisiana at Lafayette,2006,2011,131,11.9,2.5,1.5,1.2,0.7,0.1,.387,.420,.212,.642,-0.7,-0.022
474,2005,NBA,2,54,NYK,Dijon Thompson\thompdi01,22.131,G-F,us,University of California Los Angeles,2006,2007,16,5.8,2.8,1.2,0.2,0.2,0.1,.425,.481,.308,.875,0.2,.102
475,2005,NBA,2,55,SEA,Lawrence Roberts\roberla01,22.257,F,us,Mississippi State University,2006,2007,87,13.2,3.8,3.6,0.4,0.5,0.2,.452,.460,.000,.688,2.5,.106
476,2005,NBA,2,56,DET,Amir Johnson\johnsam01,18.063,F-C,us,,2006,2018,813,21.7,7.2,5.5,1.2,0.6,1.0,.572,.588,.335,.669,53.5,.145
477,2005,NBA,2,57,PHO,Marcin Gortat\gortama01,21.137,C-F,pl,,2008,2018,754,26.3,10.2,8.1,1.1,0.5,1.1,.552,.554,.150,.678,59.8,.145
478,2005,NBA,2,58,TOR,Uros Slokar\slokaur01,22.051,F,si,,2007,2007,20,3.6,1.9,0.7,0.1,0.1,0.1,.538,.542,.500,.692,0.1,.042
479,2005,NBA,2,59,ATL,Cenk Akyol\akyolce01,18.078,G,tr,,,,,,,,,,,,,,,,
480,2005,NBA,2,60,DET,Alex Acker\ackeral01,22.164,G,us,Pepperdine University,2006,2009,30,7.8,2.7,1.0,0.5,0.2,0.1,.370,.388,.320,.500,-0.2,-0.043
481,2004,NBA,1,1,ORL,Dwight Howard\howardw01,18.203,C,us,,2005,2018,1031,34.6,17.4,12.6,1.5,0.9,2.0,.583,.585,.095,.566,127.8,.172
482,2004,NBA,1,2,CHA,Emeka Okafor\okafoem01,21.275,C-F,us,University of Connecticut,2005,2018,613,31.1,12.0,9.7,0.8,0.7,1.6,.512,.512,.000,.586,45.2,.114
483,2004,NBA,1,3,CHI,Ben Gordon\gordobe01,21.087,G,gb,University of Connecticut,2005,2015,744,27.4,14.9,2.5,2.5,0.7,0.2,.432,.447,.401,.857,33.3,.078
484,2004,NBA,1,4,LAC,Shaun Livingston\livinsh01,18.291,G,us,,2005,2018,766,21.1,6.5,2.4,3.1,0.7,0.4,.485,.490,.186,.793,27.9,.083
485,2004,NBA,1,5,WAS,Devin Harris\harride01,21.123,G,us,University of Wisconsin,2005,2018,912,25.0,11.1,2.2,4.1,1.1,0.2,.434,.482,.326,.798,53.2,.112
486,2004,NBA,1,6,ATL,Josh Childress\childjo01,21.010,G-F,us,Stanford University,2005,2014,391,26.7,9.1,4.7,1.6,0.9,0.5,.522,.548,.329,.779,25.7,.118
487,2004,NBA,1,7,PHO,Luol Deng\denglu01,19.074,F,ss,Duke University,2005,2018,880,34.7,15.0,6.1,2.3,1.0,0.5,.455,.481,.332,.770,73.2,.115
488,2004,NBA,1,8,TOR,Rafael Araujo\araujra01,23.322,C,br,Brigham Young University,2005,2007,139,11.4,2.8,2.8,0.3,0.4,0.1,.405,.407,.250,.679,-0.4,-0.013
489,2004,NBA,1,9,PHI,Andre Iguodala\iguodan01,20.153,G-F,us,University of Arizona,2005,2018,1039,34.1,12.6,5.2,4.4,1.5,0.5,.465,.515,.334,.713,92.2,.125
490,2004,NBA,1,10,CLE,Luke Jackson\jackslu02,22.236,F,us,University of Oregon,2005,2008,73,9.9,3.5,1.2,0.8,0.3,0.0,.357,.356,.360,.732,0.2,.010
491,2004,NBA,1,11,GSW,Andris Biedrins\biedran01,18.088,C,lv,,2005,2014,516,21.6,6.3,7.0,0.9,0.6,1.1,.594,.595,.000,.500,30.7,.132
492,2004,NBA,1,12,SEA,Robert Swift\swiftro01,18.208,C,us,,2005,2009,97,15.5,4.3,3.9,0.2,0.3,0.9,.506,.506,,.610,1.7,.054
493,2004,NBA,1,13,POR,Sebastian Telfair\telfase01,19.020,G,us,,2005,2015,564,21.5,7.4,1.6,3.5,0.7,0.1,.390,.419,.319,.777,5.0,.020
494,2004,NBA,1,14,UTA,Kris Humphries\humphkr01,19.143,F-C,us,University of Minnesota,2005,2017,800,17.8,6.7,5.4,0.7,0.4,0.6,.463,.471,.293,.700,30.3,.102
495,2004,NBA,1,15,BOS,Al Jefferson\jeffeal01,19.176,C-F,us,,2005,2018,913,28.8,15.7,8.4,1.5,0.7,1.2,.499,.501,.125,.710,70.9,.129
496,2004,NBA,1,16,UTA,Kirk Snyder\snydeki01,21.025,G,us,University of Nevada Reno,2005,2008,211,16.8,6.3,2.3,1.1,0.4,0.3,.438,.475,.327,.699,4.5,.061
