Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
32,2012,NBA,2,32,WAS,Tomas Satoransky\satorto01,20.247,G,cz,,2017,2018,125,17.8,5.1,2.3,2.9,0.6,0.2,.491,.522,.405,.760,5.3,.114
33,2012,NBA,2,33,CLE,Bernard James\jamesbe01,27.148,C,us,Florida State University,2013,2015,92,8.3,2.2,2.3,0.1,0.2,0.7,.497,.507,.000,.680,1.9,.117
34,2012,NBA,2,34,CLE,Jae Crowder\crowdja01,21.363,F,us,Marquette University,2013,2018,458,23.7,9.0,3.8,1.4,1.0,0.3,.430,.512,.342,.791,24.1,.106
35,2012,NBA,2,35,GSW,Draymond Green\greendr01,22.122,F,us,Michigan State University,2013,2018,462,27.6,9.3,6.9,4.6,1.4,1.1,.438,.504,.329,.706,39.2,.147
36,2012,NBA,2,36,SAC,Orlando Johnson\johnsor01,23.115,G,us,University of California Santa Barbara,2013,2016,103,10.8,3.2,1.7,0.7,0.2,0.1,.358,.398,.311,.727,1.4,.059
37,2012,NBA,2,37,TOR,Quincy Acy\acyqu01,21.271,F,us,Baylor University,2013,2018,322,16.0,4.9,3.5,0.6,0.4,0.4,.446,.504,.350,.762,8.4,.079
38,2012,NBA,2,38,DEN,Quincy Miller\millequ01,19.227,F,us,Baylor University,2013,2015,69,13.5,4.3,2.4,0.5,0.4,0.5,.350,.383,.292,.706,-0.1,-0.003
39,2012,NBA,2,39,DET,Khris Middleton\middlkh01,20.326,F-G,us,Texas A&M University,2013,2018,373,31.8,15.1,4.1,3.0,1.3,0.2,.454,.483,.393,.875,24.4,.098
40,2012,NBA,2,40,POR,Will Barton\bartowi01,21.179,G,us,University of Memphis,2013,2018,390,22.6,10.3,3.8,2.3,0.7,0.4,.432,.479,.339,.790,14.3,.078
41,2012,NBA,2,41,POR,Tyshawn Taylor\tayloty01,22.083,G,us,University of Kansas,2013,2014,61,8.0,2.9,0.5,0.9,0.4,0.0,.354,.353,.360,.684,-0.9,-0.088
42,2012,NBA,2,42,MIL,Doron Lamb\lambdo01,20.240,G,us,University of Kentucky,2013,2014,100,12.7,3.5,1.0,0.8,0.2,0.0,.381,.372,.394,.700,0.1,.005
43,2012,NBA,2,43,ATL,Mike Scott\scottmi01,23.353,F,us,University of Virginia,2013,2018,352,16.0,7.4,3.0,0.9,0.3,0.1,.476,.540,.351,.769,11.5,.099
44,2012,NBA,2,44,DET,Kim English\engliki01,23.283,G,us,University of Missouri,2013,2013,41,9.9,2.9,0.9,0.6,0.4,0.1,.375,.452,.280,.724,0.2,.021
45,2012,NBA,2,45,PHI,Justin Hamilton\hamilju01,22.094,C,us,Louisiana State University,2014,2017,113,17.4,6.1,3.6,0.8,0.5,0.6,.464,.560,.309,.798,3.7,.091
46,2012,NBA,2,46,NOH,Darius Miller\milleda01,22.105,F,us,University of Kentucky,2013,2018,179,18.3,5.1,1.6,1.1,0.4,0.2,.436,.502,.399,.857,4.1,.059
47,2012,NBA,2,47,UTA,Kevin Murphy\murphke01,22.120,G,us,Tennessee Technological University,2013,2013,17,3.1,0.9,0.2,0.1,0.1,0.0,.250,.261,.200,,-0.3,-0.272
48,2012,NBA,2,48,NYK,Kostas Papanikolaou\papanko01,21.338,F,gr,,2015,2016,69,15.8,3.6,2.3,1.5,0.6,0.3,.354,.416,.297,.688,0.3,.015
49,2012,NBA,2,49,ORL,Kyle O'Quinn\oquinky01,22.100,F-C,us,Norfolk State University,2013,2018,393,15.0,5.7,4.8,1.3,0.4,1.0,.518,.536,.204,.744,15.2,.124
50,2012,NBA,2,50,DEN,Izzet Turkyilmaz\turkyiz01,22.045,C-F,tr,,,,,,,,,,,,,,,,
51,2012,NBA,2,51,BOS,Kris Joseph\josepkr01,23.199,F,ca,Syracuse University,2013,2013,10,5.4,0.9,0.7,0.1,0.3,0.0,.143,.182,.000,.625,-0.1,-0.127
52,2012,NBA,2,52,GSW,Ognjen Kuzmic\kuzmiog01,22.049,C,ba,,2014,2015,37,4.4,0.9,1.0,0.2,0.1,0.1,.520,.520,,.600,0.2,.061
53,2012,NBA,2,53,LAC,Furkan Aldemir\aldemfu01,20.329,F-C,tr,,2015,2015,41,13.2,2.3,4.3,0.7,0.4,0.4,.513,.548,.000,.481,1.4,.122
54,2012,NBA,2,54,PHI,Tornike Shengelia\shengto01,20.272,F,ge,,2013,2014,45,5.5,1.3,0.9,0.4,0.1,0.0,.451,.512,.125,.500,-0.2,-0.032
55,2012,NBA,2,55,DAL,Darius Johnson-Odom\johnsda03,22.279,G,us,Marquette University,2013,2014,7,3.0,0.0,0.9,0.3,0.1,0.0,.000,.000,.000,.000,-0.3,-0.597
56,2012,NBA,2,56,TOR,Tomislav Zubcic\zubcito01,22.178,F,hr,,,,,,,,,,,,,,,,
57,2012,NBA,2,57,NJN,Ilkan Karaman\karamil01,22.052,F,tr,,,,,,,,,,,,,,,,
58,2012,NBA,2,58,MIN,Robbie Hummel\hummero01,23.118,F,us,Purdue University,2014,2015,98,14.3,3.9,2.7,0.5,0.3,0.1,.418,.469,.343,.867,1.9,.066
59,2012,NBA,2,59,SAS,Marcus Denmon\denmoma01,22.106,G,us,University of Missouri,,,,,,,,,,,,,,,
60,2012,NBA,2,60,LAL,Robert Sacre\sacrero01,23.028,C,us,Gonzaga University,2013,2016,189,14.5,4.2,3.1,0.7,0.3,0.6,.436,.437,.000,.671,2.4,.042
61,2011,NBA,1,1,CLE,Kyrie Irving\irvinky01,19.096,G,au,Duke University,2012,2018,441,33.9,22.0,3.4,5.5,1.3,0.3,.462,.493,.388,.875,49.4,.159
